# output_voltage_1.csv run at 2000-01-01 00:01:00 UTC on 966 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
Bus173,243.171453,-0.553466,249.157325,3.650206,242.050722,1.560837
Bus174,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus175,243.173680,-0.553472,249.157069,3.650210,242.044622,1.560836
Bus176,243.173513,-0.553469,249.153453,3.650211,242.049155,1.560834
Bus177,244.094702,-0.558257,248.508680,3.652690,239.708674,1.557727
Bus178,242.589542,-0.550165,249.635334,3.648334,243.679000,1.562531
Bus179,242.589342,-0.550166,249.639591,3.648329,243.678001,1.562529
Bus180,242.589373,-0.550167,249.639697,3.648329,243.676369,1.562531
Bus181,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus182,243.171354,-0.553466,249.157325,3.650206,242.050723,1.560837
Bus183,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus184,243.173681,-0.553472,249.157072,3.650210,242.044319,1.560837
Bus185,243.173514,-0.553469,249.153319,3.650211,242.049155,1.560834
Bus186,244.128934,-0.558433,248.484690,3.652783,239.622004,1.557611
Bus187,242.589242,-0.550166,249.639239,3.648329,243.678105,1.562529
Bus188,242.589394,-0.550167,249.639769,3.648330,243.669728,1.562538
Bus189,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus190,243.171260,-0.553466,249.157325,3.650206,242.050724,1.560837
Bus191,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus192,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus193,243.173682,-0.553472,249.157075,3.650210,242.044026,1.560837
Bus194,243.173518,-0.553469,249.152979,3.650211,242.049156,1.560834
Bus195,244.159717,-0.558592,248.463123,3.652866,239.544087,1.557506
Bus196,242.589064,-0.550165,249.638611,3.648328,243.678290,1.562528
Bus197,242.589396,-0.550167,249.639774,3.648330,243.669315,1.562538
Bus198,242.589396,-0.550167,249.639775,3.648330,243.669217,1.562538
Bus199,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus200,243.171160,-0.553466,249.157326,3.650206,242.050725,1.560837
Bus201,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus202,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus203,243.173683,-0.553472,249.157078,3.650210,242.043792,1.560837
Bus204,243.173520,-0.553469,249.152779,3.650212,242.049157,1.560834
Bus205,244.197967,-0.558789,248.436334,3.652969,239.447295,1.557376
Bus206,242.588120,-0.550164,249.638614,3.648328,243.678301,1.562528
Bus207,242.589116,-0.550165,249.638440,3.648328,243.678307,1.562528
Bus208,242.589399,-0.550167,249.639785,3.648330,243.668270,1.562539
Bus209,242.589396,-0.550167,249.639776,3.648330,243.669145,1.562538
Bus210,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus211,243.171006,-0.553466,249.157326,3.650206,242.050727,1.560837
Bus212,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus213,243.173683,-0.553472,249.157080,3.650210,242.043605,1.560837
Bus214,243.173521,-0.553469,249.152639,3.650212,242.049157,1.560834
Bus215,244.268575,-0.559153,248.386905,3.653159,239.268692,1.557136
Bus216,242.585029,-0.550161,249.638622,3.648327,243.678335,1.562528
Bus217,242.589211,-0.550165,249.638130,3.648328,243.678338,1.562527
Bus218,242.589396,-0.550167,249.639776,3.648330,243.669087,1.562538
Bus219,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus220,243.170587,-0.553465,249.157327,3.650206,242.050732,1.560837
Bus221,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus222,243.173685,-0.553472,249.157084,3.650210,242.043211,1.560838
Bus223,243.173524,-0.553469,249.152370,3.650212,242.049158,1.560834
Bus224,244.330161,-0.559470,248.343819,3.653325,239.112990,1.556926
Bus225,242.583696,-0.550160,249.638626,3.648327,243.678350,1.562528
Bus226,242.589244,-0.550165,249.638020,3.648328,243.678349,1.562527
Bus227,242.589396,-0.550167,249.639777,3.648330,243.669040,1.562539
Bus228,243.170551,-0.553465,249.157327,3.650206,242.050732,1.560837
Bus229,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus230,243.173686,-0.553472,249.157088,3.650210,242.042900,1.560838
Bus231,243.173526,-0.553469,249.152236,3.650212,242.049158,1.560834
Bus232,244.372069,-0.559685,248.314513,3.653438,239.007080,1.556783
Bus233,242.589310,-0.550164,249.631981,3.648334,243.678366,1.562527
Bus234,242.589244,-0.550165,249.638020,3.648328,243.678349,1.562527
Bus235,242.589397,-0.550167,249.639778,3.648330,243.668969,1.562539
Bus236,243.170534,-0.553465,249.157327,3.650206,242.050732,1.560837
Bus237,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus238,243.173686,-0.553472,249.157090,3.650210,242.042685,1.560838
Bus239,243.173527,-0.553468,249.152141,3.650212,242.049158,1.560834
Bus240,244.399604,-0.559827,248.295264,3.653512,238.937509,1.556689
Bus241,242.589319,-0.550164,249.631104,3.648334,243.678369,1.562527
Bus242,242.589397,-0.550167,249.639779,3.648330,243.668886,1.562539
Bus243,243.170517,-0.553465,249.157327,3.650206,242.050733,1.560837
Bus244,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus245,243.173687,-0.553472,249.157092,3.650210,242.042470,1.560838
Bus246,243.173538,-0.553468,249.151053,3.650213,242.049162,1.560834
Bus247,244.458883,-0.560131,248.253840,3.653671,238.787788,1.556487
Bus248,242.589335,-0.550164,249.629657,3.648336,243.678373,1.562527
Bus249,242.589333,-0.550164,249.629860,3.648336,243.678372,1.562527
Bus250,242.589397,-0.550167,249.639780,3.648330,243.668758,1.562539
Bus251,243.170500,-0.553465,249.157327,3.650206,242.050733,1.560837
Bus252,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus253,243.173688,-0.553472,249.157096,3.650210,242.042155,1.560839
Bus254,243.173542,-0.553468,249.150732,3.650214,242.049163,1.560834
Bus255,244.457879,-0.560130,248.253843,3.653671,238.787799,1.556487
Bus256,244.498224,-0.560333,248.226411,3.653777,238.688639,1.556352
Bus257,242.589399,-0.550167,249.639785,3.648330,243.668289,1.562539
Bus258,243.170481,-0.553465,249.157327,3.650206,242.050733,1.560837
Bus259,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus260,243.173692,-0.553472,249.157109,3.650210,242.040972,1.560840
Bus261,243.173543,-0.553468,249.150661,3.650214,242.049163,1.560834
Bus262,244.457740,-0.560130,248.253843,3.653671,238.787800,1.556487
Bus263,244.645839,-0.561088,248.123582,3.654174,238.316884,1.555848
Bus264,242.589406,-0.550167,249.639810,3.648330,243.666010,1.562542
Bus265,243.170442,-0.553465,249.157328,3.650206,242.050733,1.560837
Bus266,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus267,243.173693,-0.553472,249.157112,3.650210,242.040696,1.560840
Bus268,243.173553,-0.553468,249.149731,3.650215,242.049165,1.560834
Bus269,243.173543,-0.553468,249.150630,3.650214,242.049163,1.560834
Bus270,244.457676,-0.560130,248.253843,3.653671,238.787801,1.556487
Bus271,244.645842,-0.561088,248.123595,3.654175,238.315753,1.555849
Bus272,244.695441,-0.561341,248.089007,3.654308,238.192149,1.555678
Bus273,243.170402,-0.553465,249.157328,3.650206,242.050734,1.560837
Bus274,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus275,243.173693,-0.553472,249.157113,3.650210,242.040569,1.560840
Bus276,243.173563,-0.553468,249.148811,3.650215,242.049168,1.560834
Bus277,243.173543,-0.553468,249.150595,3.650214,242.049163,1.560834
Bus278,244.457600,-0.560130,248.253844,3.653671,238.787802,1.556487
Bus279,244.645843,-0.561088,248.123596,3.654175,238.315670,1.555849
Bus280,244.875380,-0.562258,247.963710,3.654792,237.740043,1.555061
Bus281,243.170248,-0.553465,249.157328,3.650206,242.050736,1.560837
Bus282,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus283,243.173693,-0.553472,249.157114,3.650210,242.040486,1.560840
Bus284,243.173544,-0.553468,249.150563,3.650214,242.049163,1.560834
Bus285,244.457483,-0.560130,248.253844,3.653671,238.787803,1.556487
Bus286,244.645843,-0.561088,248.123596,3.654175,238.315603,1.555850
Bus287,244.997402,-0.562874,247.852049,3.655144,237.436988,1.554651
Bus288,244.876167,-0.562278,247.967106,3.654805,237.728445,1.555069
Bus289,243.169431,-0.553464,249.157330,3.650206,242.050745,1.560837
Bus290,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus291,243.173695,-0.553472,249.157118,3.650210,242.040109,1.560841
Bus292,243.173694,-0.553472,249.157114,3.650210,242.040460,1.560841
Bus293,243.173544,-0.553468,249.150531,3.650214,242.049163,1.560834
Bus294,244.457379,-0.560130,248.253844,3.653671,238.787804,1.556487
Bus295,244.645843,-0.561088,248.123597,3.654175,238.315506,1.555850
Bus296,245.053597,-0.563158,247.800664,3.655306,237.297511,1.554461
Bus297,244.879467,-0.562363,247.981338,3.654863,237.679838,1.555104
Bus298,243.173695,-0.553472,249.157120,3.650210,242.039936,1.560841
Bus299,243.173694,-0.553472,249.157115,3.650210,242.040442,1.560841
Bus300,243.173544,-0.553468,249.150496,3.650214,242.049163,1.560834
Bus301,244.457298,-0.560130,248.253844,3.653671,238.787805,1.556487
Bus302,244.645845,-0.561088,248.123602,3.654175,238.315074,1.555850
Bus303,245.421185,-0.565006,247.465145,3.656368,236.386570,1.553219
Bus304,244.880196,-0.562381,247.984480,3.654876,237.669108,1.555111
Bus305,243.173696,-0.553472,249.157123,3.650210,242.039644,1.560841
Bus306,243.173694,-0.553472,249.157115,3.650210,242.040421,1.560841
Bus307,243.173547,-0.553468,249.150294,3.650214,242.049164,1.560834
Bus308,244.457197,-0.560129,248.253845,3.653671,238.787806,1.556487
Bus309,244.645845,-0.561088,248.123603,3.654175,238.314991,1.555850
Bus310,245.448675,-0.565144,247.440096,3.656448,236.318545,1.553126
Bus311,244.880438,-0.562388,247.985524,3.654880,237.665543,1.555114
Bus312,243.173698,-0.553472,249.157129,3.650210,242.039082,1.560842
Bus313,243.173694,-0.553472,249.157115,3.650210,242.040381,1.560841
Bus314,243.173556,-0.553468,249.149439,3.650215,242.049166,1.560834
Bus315,244.457093,-0.560129,248.253845,3.653671,238.787808,1.556487
Bus316,244.645845,-0.561088,248.123604,3.654175,238.314929,1.555850
Bus317,245.448343,-0.565144,247.440096,3.656448,236.318549,1.553126
Bus318,245.955694,-0.567666,246.981324,3.657910,235.071995,1.551407
Bus319,244.880564,-0.562391,247.986069,3.654883,237.663682,1.555115
Bus320,243.173704,-0.553472,249.157147,3.650210,242.037427,1.560844
Bus321,243.173694,-0.553472,249.157117,3.650210,242.040226,1.560841
Bus322,244.456970,-0.560129,248.253845,3.653671,238.787809,1.556487
Bus323,244.645845,-0.561088,248.123604,3.654175,238.314858,1.555850
Bus324,245.446633,-0.565142,247.440101,3.656447,236.318568,1.553126
Bus325,246.199566,-0.568873,246.761348,3.658614,234.474025,1.550575
Bus326,244.880672,-0.562394,247.986535,3.654885,237.662089,1.555116
Bus327,243.173696,-0.553472,249.157123,3.650210,242.039698,1.560841
Bus328,244.456900,-0.560129,248.253845,3.653671,238.787810,1.556487
Bus329,244.645846,-0.561088,248.123605,3.654175,238.314788,1.555850
Bus330,245.446036,-0.565141,247.440102,3.656447,236.318574,1.553126
Bus331,246.207631,-0.569010,246.787441,3.658707,232.108631,1.553057
Bus332,246.530917,-0.568976,245.918976,3.658441,234.575069,1.547783
Bus333,244.880796,-0.562397,247.987066,3.654887,237.660278,1.555117
Bus334,244.456583,-0.560129,248.253846,3.653671,238.787813,1.556487
Bus335,244.645848,-0.561088,248.123612,3.654175,238.314169,1.555851
Bus336,245.444737,-0.565140,247.440106,3.656447,236.318589,1.553126
Bus337,246.210826,-0.569064,246.797776,3.658743,231.172218,1.554054
Bus338,246.530937,-0.568976,245.917156,3.658443,234.575075,1.547783
Bus339,246.591071,-0.568995,245.766098,3.658409,234.593606,1.547276
Bus340,244.880892,-0.562399,247.987484,3.654888,237.658850,1.555118
Bus341,244.456460,-0.560129,248.253847,3.653671,238.787815,1.556487
Bus342,244.645852,-0.561088,248.123626,3.654175,238.312904,1.555852
Bus343,245.444220,-0.565140,247.440107,3.656447,236.318595,1.553126
Bus344,245.444479,-0.565140,247.440106,3.656447,236.318592,1.553126
Bus345,246.530946,-0.568976,245.916241,3.658443,234.575077,1.547783
Bus346,246.642605,-0.569011,245.635127,3.658382,234.609536,1.546842
Bus347,244.880974,-0.562401,247.987834,3.654890,237.657654,1.555119
Bus348,244.456417,-0.560129,248.253847,3.653671,238.787815,1.556487
Bus349,245.443446,-0.565139,247.440109,3.656447,236.318603,1.553126
Bus350,245.444443,-0.565140,247.440106,3.656447,236.318592,1.553126
Bus351,246.530947,-0.568976,245.916156,3.658444,234.575078,1.547783
Bus352,246.678854,-0.569023,245.543001,3.658362,234.620767,1.546537
Bus353,244.881047,-0.562403,247.988150,3.654891,237.656574,1.555120
Bus354,244.456385,-0.560129,248.253847,3.653671,238.787816,1.556487
Bus355,245.444404,-0.565140,247.440106,3.656447,236.318593,1.553126
Bus356,246.530948,-0.568976,245.916121,3.658444,234.575078,1.547783
Bus357,246.724656,-0.569037,245.426598,3.658338,234.634989,1.546151
Bus358,244.881108,-0.562405,247.988412,3.654892,237.655681,1.555120
Bus359,244.456361,-0.560129,248.253847,3.653671,238.787816,1.556487
Bus360,245.444370,-0.565140,247.440107,3.656447,236.318593,1.553126
Bus361,246.530948,-0.568976,245.916096,3.658444,234.575078,1.547783
Bus362,246.753355,-0.569046,245.353661,3.658323,234.643918,1.545910
Bus363,244.881178,-0.562406,247.988716,3.654893,237.654644,1.555121
Bus364,244.456349,-0.560129,248.253847,3.653671,238.787816,1.556487
Bus365,245.444334,-0.565140,247.440107,3.656447,236.318593,1.553126
Bus366,246.530948,-0.568976,245.916071,3.658444,234.575078,1.547783
Bus367,246.797425,-0.569060,245.241658,3.658299,234.657657,1.545538
Bus368,244.881256,-0.562408,247.989049,3.654895,237.653505,1.555122
Bus369,244.456332,-0.560129,248.253847,3.653671,238.787816,1.556487
Bus370,245.444282,-0.565140,247.440107,3.656447,236.318594,1.553126
Bus371,246.530948,-0.568976,245.916041,3.658444,234.575078,1.547783
Bus372,246.841359,-0.569074,245.130005,3.658276,234.671385,1.545169
Bus373,244.881677,-0.562419,247.990868,3.654902,237.647293,1.555126
Bus374,244.456302,-0.560129,248.253847,3.653671,238.787816,1.556487
Bus375,245.444219,-0.565140,247.440107,3.656447,236.318595,1.553126
Bus376,246.530949,-0.568976,245.916003,3.658444,234.575078,1.547783
Bus377,246.890653,-0.569090,245.004726,3.658250,234.686826,1.544754
Bus378,244.879966,-0.562418,247.989200,3.654902,237.645873,1.555127
Bus379,244.881809,-0.562422,247.991301,3.654904,237.607849,1.555167
Bus380,244.456170,-0.560128,248.253847,3.653671,238.787818,1.556487
Bus381,245.443829,-0.565139,247.440108,3.656447,236.318599,1.553126
Bus382,246.530949,-0.568976,245.915969,3.658444,234.575078,1.547783
Bus383,246.926324,-0.569101,244.914070,3.658231,234.698025,1.544453
