# output_current_1.csv run at 2000-01-01 00:01:00 UTC on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
LINE66,0.000000,3.518334,0.000000,2.631330,0.000000,4.072098
LINE67,0.000000,-0.399538,0.000000,-1.365403,0.000000,1.589275
LINE68,0.000000,-0.190081,0.000000,3.116661,0.000000,-1.541095
LINE69,0.229493,-0.857592,0.000000,0.037171,0.000000,0.658869
LINE70,0.000000,2.481751,0.218028,3.332443,0.000000,-1.447955
LINE71,90.490054,0.955599,162.727719,3.850104,247.381098,1.578870
LINE72,221.556689,-0.858660,0.000000,-0.547873,0.000000,1.416205
LINE73,88.465558,-0.859292,0.000000,-0.154107,0.000000,1.496709
LINE74,0.000000,-0.506483,0.000000,2.896622,0.000000,2.322441
LINE75,0.000000,-0.149441,0.000000,4.568096,0.000000,1.491473
LINE76,0.000000,-0.152802,0.000000,3.361639,0.000000,-1.539635
LINE77,0.000000,1.240560,0.218028,3.332443,0.000000,-1.343675
LINE78,90.490054,0.955599,162.727719,3.850104,247.381098,1.578870
LINE79,0.000000,-0.071593,0.000000,2.811056,0.000000,2.060934
LINE80,0.000000,-0.523952,0.000000,4.537619,0.000000,1.509262
LINE81,0.000000,-0.128724,0.000000,3.281809,0.000000,-1.542307
LINE82,0.000000,0.201745,0.218028,3.332443,0.000000,-0.728035
LINE83,90.490054,0.955599,162.727719,3.850104,247.381098,1.578870
LINE84,0.000000,0.100896,0.000000,3.038159,0.000000,2.368002
LINE85,0.000000,-0.449743,0.000000,4.609139,0.000000,1.529518
LINE86,0.000000,-0.141074,0.000000,3.302009,0.000000,-1.541407
LINE87,90.490054,0.955599,162.727719,3.850104,247.381098,1.578870
LINE88,0.000000,3.659624,0.000000,2.154381,0.000000,4.346158
LINE89,0.000000,-0.426822,0.000000,4.662499,0.000000,1.563967
LINE90,0.000000,-0.108073,0.000000,3.438411,0.000000,-1.539537
LINE91,90.490054,0.955599,162.727719,3.850104,247.381098,1.578870
LINE92,0.000000,-0.992904,0.000000,-0.992904,0.000000,1.436953
LINE93,0.000000,-0.269911,0.000000,3.361639,0.000000,-1.525531
LINE94,90.490054,0.955599,162.727719,3.850104,247.381098,1.578870
LINE95,0.000000,-0.598122,0.000000,-0.502571,0.000000,1.752455
LINE96,0.000000,0.438716,0.000000,0.438716,0.000000,4.703081
LINE97,90.490054,0.955599,162.727719,3.850104,247.381098,1.578870
LINE98,0.000000,0.155983,0.000000,-0.173968,0.000000,4.209064
LINE99,0.000000,3.116661,0.000000,1.545864,0.000000,-0.024932
LINE100,90.490054,0.955599,162.727719,3.850104,247.381098,1.578870
LINE101,0.000000,0.765702,0.000000,-1.277607,0.000000,4.138694
LINE102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LINE103,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE104,90.554359,0.958336,162.138685,3.852182,246.830184,1.579645
LINE105,0.000000,0.679815,0.000000,-1.385670,0.000000,4.079133
LINE106,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE107,90.554359,0.958336,162.138685,3.852182,246.830184,1.579645
LINE108,0.000000,0.954694,0.000000,-1.131403,0.000000,3.799200
LINE109,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE110,90.554359,0.958336,162.138685,3.852182,246.830184,1.579645
LINE111,0.000000,0.994972,0.000000,-1.137516,0.000000,3.669463
LINE112,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE113,90.554359,0.958336,162.138685,3.852182,246.830184,1.579645
LINE114,0.000000,0.990034,0.000000,-1.140556,0.000000,3.663775
LINE115,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE116,0.212111,-0.871024,0.460515,3.332655,0.587119,1.243282
LINE117,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE118,0.000000,1.006878,0.000000,-1.132178,0.000000,3.656166
LINE119,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE120,0.000000,2.220605,0.000000,0.397922,0.000000,-1.560029
LINE121,0.212111,-0.871024,0.460515,3.332655,0.587119,1.243282
LINE122,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE123,0.000000,0.979570,0.000000,-1.135292,0.000000,3.688960
LINE124,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE125,0.000000,2.189366,0.000000,0.577355,0.000000,-1.559286
LINE126,0.212111,-0.871024,0.460515,3.332655,0.587119,1.243282
LINE127,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE128,0.000000,0.886648,0.000000,-1.164037,0.000000,3.685823
LINE129,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE130,0.000000,2.528658,0.000000,0.618569,0.000000,4.703081
LINE131,0.212111,-0.871024,0.000000,2.945657,0.000000,1.603644
LINE132,0.000000,0.663569,0.460515,3.332655,0.587119,1.243282
LINE133,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE134,0.000000,0.923258,0.000000,-1.223048,0.000000,3.675447
LINE135,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE136,0.000000,2.653013,0.000000,0.641037,0.000000,4.703081
LINE137,0.212111,-0.871024,0.000000,2.976819,0.000000,1.605181
LINE138,0.000000,0.672823,0.460515,3.332655,0.587119,1.243282
LINE139,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE140,0.000000,0.858086,0.000000,-1.228110,0.000000,3.741140
LINE141,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE142,0.000000,2.779986,0.000000,0.851126,0.000000,4.700849
LINE143,0.212111,-0.871024,0.000000,2.961041,0.000000,1.602408
LINE144,0.000000,0.680137,0.460515,3.332655,0.587119,1.243282
LINE145,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE146,0.000000,0.774380,0.000000,-0.920984,0.000000,3.691073
LINE147,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE148,0.000000,2.838361,0.000000,0.819222,0.000000,4.687457
LINE149,0.212111,-0.871024,0.000000,2.887979,0.000000,1.611397
LINE150,0.000000,0.601967,0.000000,0.057529,0.587119,1.243282
LINE151,0.000000,2.555915,0.460515,3.332655,0.000000,-1.527095
LINE152,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE153,0.000000,1.112515,0.000000,4.448064,0.000000,3.989625
LINE154,0.256016,-0.867720,0.678895,3.330775,0.583195,1.244980
LINE155,0.000000,2.813776,0.000000,1.267565,0.000000,4.687457
LINE156,0.212111,-0.871024,0.000000,2.881676,0.000000,1.627478
LINE157,0.000000,0.601985,0.000000,0.053137,0.587119,1.243282
LINE158,0.000000,2.432870,0.460515,3.332655,0.000000,-1.526183
LINE159,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE160,0.000000,1.463949,0.000000,-0.657106,0.000000,3.279524
LINE161,0.000000,2.943384,0.231917,3.330773,0.000000,-1.556118
LINE162,0.256016,-0.867720,0.446978,3.330775,0.583195,1.244980
LINE163,0.000000,2.721870,0.000000,1.082217,0.000000,4.699956
LINE164,0.212111,-0.871024,0.000000,2.921164,0.000000,1.620476
LINE165,0.000000,0.591119,0.000000,0.054172,0.587119,1.243282
LINE166,0.000000,2.578016,0.460515,3.332655,0.000000,-1.545863
LINE167,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE168,0.000000,2.886865,0.000000,0.769103,0.000000,0.769103
LINE169,0.000000,3.109133,0.231917,3.330773,0.000000,-1.554790
LINE170,0.256016,-0.867720,0.446978,3.330775,0.583195,1.244980
LINE171,0.000000,2.473160,0.000000,1.267565,0.000000,4.710890
LINE172,0.212111,-0.871024,0.000000,2.892358,0.000000,1.614807
LINE173,0.000000,0.682737,0.000000,0.020804,0.000000,1.276252
LINE174,0.000000,-1.086668,0.000000,0.983689,0.587119,1.243282
LINE175,0.000000,2.600674,0.460515,3.332655,0.000000,-1.562436
LINE176,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE177,0.000000,0.760604,0.231917,3.330773,0.000000,4.685088
LINE178,0.256016,-0.867720,0.446978,3.330775,0.000000,1.408723
LINE179,0.000000,3.102602,0.000000,3.493958,0.583195,1.244980
LINE180,0.000000,2.736154,0.000000,2.133867,0.000000,-1.564488
LINE181,0.212111,-0.871024,0.000000,2.924110,0.000000,1.623236
LINE182,0.000000,0.687634,0.000000,0.027023,0.000000,1.314357
LINE183,0.000000,-1.042219,0.000000,1.019765,0.587119,1.243282
LINE184,0.000000,2.746741,0.460515,3.332655,0.000000,-1.475995
LINE185,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE186,0.256016,-0.867720,0.446978,3.330775,0.000000,1.476029
LINE187,0.000000,3.053482,0.000000,3.490068,0.583195,1.244980
LINE188,0.000000,2.653013,0.000000,2.133867,0.000000,-1.569692
LINE189,0.212111,-0.871024,0.000000,2.917840,0.000000,1.619613
LINE190,0.000000,0.778465,0.000000,2.173420,0.000000,4.502124
LINE191,0.000000,0.735671,0.000000,0.039345,0.000000,1.270351
LINE192,0.000000,-0.958145,0.000000,1.059923,0.587119,1.243282
LINE193,0.000000,2.641646,0.460515,3.332655,0.000000,-1.504697
LINE194,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE195,0.256016,-0.867720,0.446978,3.330775,0.000000,1.478986
LINE196,0.000000,3.254278,0.000000,0.375352,0.185757,1.244979
LINE197,0.000000,3.029380,0.000000,3.492737,0.397438,1.244981
LINE198,0.000000,2.653013,0.000000,0.760466,0.000000,4.703081
LINE199,0.212111,-0.871024,0.000000,2.939257,0.000000,1.609191
LINE200,0.000000,1.847336,0.000000,-0.176811,0.000000,4.134591
LINE201,0.000000,0.326624,0.000000,0.153699,0.000000,1.175837
LINE202,0.000000,-1.174470,0.000000,0.996197,0.587119,1.243282
LINE203,0.000000,2.290440,0.460515,3.332655,0.000000,-1.491728
LINE204,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE205,0.256016,-0.867720,0.000000,2.783130,0.000000,4.417509
LINE206,0.000000,3.156830,0.446978,3.330775,0.000000,1.477349
LINE207,0.000000,0.567110,0.000000,3.274110,0.185757,1.244979
LINE208,0.000000,2.953809,0.000000,3.698835,0.397438,1.244981
LINE209,0.000000,1.545864,0.000000,0.220047,0.000000,4.687457
LINE210,0.212111,-0.871024,0.000000,2.923596,0.000000,1.608775
LINE211,0.000000,1.028749,0.000000,-0.011920,0.000000,0.806149
LINE212,0.000000,4.616849,0.000000,0.903527,0.587119,1.243282
LINE213,0.000000,2.406491,0.460515,3.332655,0.000000,-1.510260
LINE214,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE215,0.256016,-0.867720,0.000000,1.607059,0.000000,4.503128
LINE216,0.000000,3.356187,0.446978,3.330775,0.000000,1.770281
LINE217,0.000000,3.508526,0.000000,4.205106,0.397438,1.244981
LINE218,0.000000,3.580308,0.000000,0.000000,0.000000,0.000000
LINE219,0.212111,-0.871024,0.000000,2.950677,0.000000,1.610835
LINE220,0.000000,1.101332,0.000000,-0.141718,0.000000,0.425430
LINE221,0.000000,4.666095,0.000000,0.770401,0.587119,1.243282
LINE222,0.000000,2.379941,0.460515,3.332655,0.000000,-1.501018
LINE223,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE224,0.256016,-0.867720,0.000000,-0.480563,0.000000,1.563532
LINE225,0.000000,2.882999,0.446978,3.330775,0.000000,1.559430
LINE226,0.000000,4.555499,0.000000,4.202117,0.397438,1.244981
LINE227,0.212111,-0.871024,0.000000,3.033347,0.000000,1.616421
LINE228,0.000000,0.981750,0.000000,-0.136260,0.000000,0.254126
LINE229,0.000000,-1.421880,0.000000,0.838408,0.587119,1.243282
LINE230,0.000000,2.388753,0.460515,3.332655,0.000000,-1.486171
LINE231,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE232,0.000000,-1.169400,0.446978,3.330775,0.000000,1.673386
LINE233,0.000000,0.148688,0.000000,1.913171,0.000000,3.361472
LINE234,0.000000,-0.883964,0.000000,4.532569,0.397438,1.244981
LINE235,0.212111,-0.871024,0.000000,3.285334,0.000000,1.651491
LINE236,0.000000,0.825118,0.000000,-0.158030,0.000000,0.550358
LINE237,0.000000,-1.220536,0.000000,0.895380,0.587119,1.243282
LINE238,0.000000,2.543130,0.460515,3.332655,0.000000,-1.244333
LINE239,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE240,0.000000,-0.805337,0.446978,3.330775,0.000000,1.585299
LINE241,0.000000,-1.502598,0.000000,4.178649,0.397438,1.244981
LINE242,0.212111,-0.871024,0.000000,3.627165,0.000000,1.624092
LINE243,0.000000,0.773346,0.000000,-0.657515,0.000000,0.558316
LINE244,0.000000,-0.983086,0.000000,0.786469,0.587119,1.243282
LINE245,0.000000,2.631681,0.460515,3.332655,0.000000,-1.399368
LINE246,90.608826,0.960599,161.739095,3.853595,246.276042,1.580431
LINE247,0.000000,-1.453821,0.240356,3.330775,0.000000,4.675135
LINE248,0.000000,3.028670,0.206622,3.330775,0.000000,-1.413921
LINE249,0.000000,3.318937,0.000000,3.390319,0.397438,1.244981
LINE250,0.212111,-0.871024,0.000000,3.589088,0.000000,1.611518
LINE251,0.000000,0.886864,0.000000,0.245989,0.000000,0.135505
LINE252,0.000000,-0.958041,0.000000,0.834051,0.587119,1.243282
LINE253,0.000000,2.626623,0.460515,3.332655,0.000000,-1.415842
LINE254,0.193771,-0.877688,0.000000,1.970817,0.000000,4.671620
LINE255,90.660235,0.962661,161.739095,3.853595,246.276042,1.580431
LINE256,0.000000,-0.562927,0.000000,-0.562927,0.397438,1.244981
LINE257,0.212111,-0.871024,0.000000,4.581099,0.000000,1.622657
LINE258,0.000000,0.743487,0.000000,-0.151431,0.000000,-0.081747
LINE259,0.000000,-0.927763,0.000000,0.751019,0.587119,1.243282
LINE260,0.000000,2.691315,0.460515,3.332655,0.000000,-1.461268
LINE261,0.193771,-0.877688,0.000000,2.000086,0.000000,4.675267
LINE262,90.660235,0.962661,161.739095,3.853595,246.276042,1.580431
LINE263,0.000000,3.312577,0.000000,0.904643,0.397438,1.244981
LINE264,0.212111,-0.871024,0.000000,0.520026,0.000000,1.712129
LINE265,0.000000,0.602181,0.000000,-0.093621,0.000000,0.935621
LINE266,0.000000,-1.019105,0.000000,0.778066,0.587119,1.243282
LINE267,0.000000,2.165086,0.236595,3.332655,0.000000,1.430376
LINE268,0.000000,1.953024,0.223920,3.332654,0.000000,4.703789
LINE269,0.193771,-0.877688,0.000000,1.664362,0.000000,4.667947
LINE270,0.000000,3.120891,0.000000,3.472555,0.234102,1.238292
LINE271,90.660235,0.962661,161.739095,3.853595,246.055522,1.580751
LINE272,0.212111,-0.871024,0.000000,-1.383472,0.000000,1.648032
LINE273,0.000000,0.571078,0.000000,0.154569,0.000000,1.745665
LINE274,0.000000,4.458923,0.000000,0.743710,0.587119,1.243282
LINE275,0.000000,0.093712,0.236595,3.332655,0.000000,1.944818
LINE276,0.000000,1.930677,0.223920,3.332654,0.000000,-1.386547
LINE277,0.193771,-0.877688,0.000000,1.539293,0.000000,4.664797
LINE278,0.000000,3.023590,0.000000,3.382632,0.234102,1.238292
LINE279,90.660235,0.962661,161.739095,3.853595,246.055522,1.580751
LINE280,0.212111,-0.871024,0.000000,4.482850,0.000000,4.621798
LINE281,0.000000,2.245593,0.000000,4.415405,0.000000,4.191166
LINE282,0.000000,3.744744,0.000000,0.655527,0.587119,1.243282
LINE283,0.000000,0.884927,0.223920,3.332654,0.000000,-0.799030
LINE284,0.193771,-0.877688,0.000000,1.402907,0.000000,4.654688
LINE285,0.000000,3.249941,0.000000,3.304781,0.234102,1.238292
LINE286,91.100171,0.979482,160.404341,3.858325,221.672866,1.620271
LINE287,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE288,0.212111,-0.871024,0.000000,1.392980,0.000000,4.456139
LINE289,0.000000,1.678276,0.000000,-0.215531,0.000000,3.275439
LINE290,0.000000,3.092670,0.000000,0.067098,0.378367,1.243283
LINE291,0.000000,-1.288612,0.000000,1.711959,0.208752,1.243281
LINE292,0.000000,0.843043,0.223920,3.332654,0.000000,1.621376
LINE293,0.193771,-0.877688,0.000000,1.420316,0.000000,4.653508
LINE294,0.000000,3.616123,0.000000,3.443538,0.234102,1.238292
LINE295,91.100171,0.979482,160.404341,3.858325,221.672866,1.620271
LINE296,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE297,0.000000,2.753339,0.000000,0.102550,0.378367,1.243283
LINE298,0.000000,0.469139,0.000000,0.469139,0.208752,1.243281
LINE299,0.000000,2.330324,0.223920,3.332654,0.000000,1.302896
LINE300,0.193771,-0.877688,0.000000,1.599884,0.000000,4.661502
LINE301,0.000000,3.592207,0.000000,3.372904,0.234102,1.238292
LINE302,91.100171,0.979482,160.404341,3.858325,221.672866,1.620271
LINE303,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE304,0.000000,2.533767,0.000000,3.052103,0.378367,1.243283
LINE305,0.000000,1.274063,0.000000,0.063294,0.208752,1.243281
LINE306,0.000000,1.669859,0.223920,3.332654,0.000000,-0.907201
LINE307,0.193771,-0.877688,0.000000,1.529877,0.000000,4.659269
LINE308,0.000000,3.490843,0.000000,3.318842,0.234102,1.238292
LINE309,91.100171,0.979482,160.404341,3.858325,221.672866,1.620271
LINE310,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE311,0.000000,2.070714,0.000000,0.569087,0.378367,1.243283
LINE312,0.000000,1.786007,0.000000,0.045800,0.208752,1.243281
LINE313,0.000000,0.476045,0.223920,3.332654,0.000000,-1.313144
LINE314,0.193771,-0.877688,0.000000,1.601208,0.000000,4.668587
LINE315,0.000000,2.776552,0.000000,4.610444,0.234102,1.238292
LINE316,0.450314,-0.882699,0.000000,0.166948,0.000000,4.710995
LINE317,91.230556,0.984210,160.404341,3.858325,221.672866,1.620271
LINE318,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE319,0.000000,-0.171710,0.000000,0.361021,0.378367,1.243283
LINE320,0.000000,2.805681,0.000000,-1.192035,0.208752,1.243281
LINE321,0.193771,-0.877688,0.000000,1.273574,0.000000,4.673437
LINE322,0.000000,2.870057,0.000000,-0.188076,0.234102,1.238292
LINE323,0.450314,-0.882699,0.000000,0.202533,0.000000,4.707309
LINE324,91.230556,0.984210,160.404341,3.858325,221.672866,1.620271
LINE325,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE326,0.000000,3.321027,0.000000,0.548970,0.208752,1.243281
LINE327,0.193771,-0.877688,0.000000,1.048688,0.000000,4.676598
LINE328,0.000000,3.480188,0.000000,0.467035,0.234102,1.238292
LINE329,0.450314,-0.882699,0.000000,0.194606,0.000000,4.700179
LINE330,0.000000,-0.656082,0.000000,4.094391,227.895715,1.236493
LINE331,91.230556,0.984210,160.404341,3.858325,85.955978,3.070305
LINE332,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE333,0.193771,-0.877688,0.000000,0.898229,0.000000,4.663068
LINE334,0.000000,2.355589,0.000000,-0.423983,0.234102,1.238292
LINE335,0.450314,-0.882699,0.000000,0.200813,0.000000,4.698684
LINE336,0.000000,2.864420,0.000000,0.476919,227.895715,1.236493
LINE337,0.000000,1.522258,0.235426,3.340885,0.000000,1.331976
LINE338,91.230556,0.984210,160.199777,3.859052,85.955978,3.070305
LINE339,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE340,0.193771,-0.877688,0.000000,0.865789,0.000000,4.654556
LINE341,0.000000,1.247871,0.000000,1.380138,0.234102,1.238292
LINE342,0.218723,-0.882699,0.000000,-0.000205,0.000000,1.565238
LINE343,0.231590,-0.882698,0.000000,0.231926,0.000000,4.697785
LINE344,0.000000,1.513211,0.235426,3.340885,0.000000,1.342760
LINE345,91.230556,0.984210,160.199777,3.859052,85.955978,3.070305
LINE346,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE347,0.193771,-0.877688,0.000000,0.255982,0.000000,4.636256
LINE348,0.218723,-0.882699,0.000000,0.881305,0.000000,1.206993
LINE349,0.231590,-0.882698,0.000000,-0.249346,0.000000,-1.497956
LINE350,0.000000,1.272138,0.235426,3.340885,0.000000,1.317178
LINE351,91.230556,0.984210,160.199777,3.859052,85.955978,3.070305
LINE352,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE353,0.193771,-0.877688,0.000000,0.970823,0.000000,4.564083
LINE354,0.231590,-0.882698,0.000000,0.148132,0.000000,1.457760
LINE355,0.000000,1.972654,0.235426,3.340885,0.000000,-0.793505
LINE356,91.230556,0.984210,160.199777,3.859052,85.955978,3.070305
LINE357,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE358,0.193771,-0.877688,0.000000,0.258798,0.000000,4.037458
LINE359,0.231590,-0.882698,0.000000,-0.317355,0.000000,-1.051632
LINE360,0.000000,2.465446,0.235426,3.340885,0.000000,-1.154847
LINE361,91.230556,0.984210,160.199777,3.859052,85.955978,3.070305
LINE362,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE363,0.193771,-0.877688,0.000000,-0.512811,0.000000,4.677416
LINE364,0.231590,-0.882698,0.000000,-1.547399,0.000000,-1.458822
LINE365,0.000000,1.710091,0.235426,3.340885,0.000000,-1.359234
LINE366,91.230556,0.984210,160.199777,3.859052,85.955978,3.070305
LINE367,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE368,0.193771,-0.877688,0.000000,-0.188665,0.000000,4.445484
LINE369,0.231590,-0.882698,0.000000,-0.577776,0.000000,-1.465840
LINE370,0.000000,3.289537,0.235426,3.340885,0.000000,-1.234507
LINE371,91.230556,0.984210,160.199777,3.859052,85.955978,3.070305
LINE372,1.590755,-0.879925,1.536842,3.337336,26.070886,1.238148
LINE373,0.193771,-0.877688,0.000000,0.486552,0.000000,4.141165
LINE374,0.231590,-0.882698,0.000000,-0.453744,0.000000,1.543102
LINE375,0.000000,0.242423,0.235426,3.340885,0.000000,-1.437614
LINE376,91.230556,0.984210,160.199777,3.859052,85.955978,3.070305
LINE377,1.590755,-0.879925,1.536842,3.337336,1.470666,1.237571
LINE378,0.000000,2.194120,0.000000,-0.024185,24.600220,1.238183
LINE379,0.193771,-0.877688,0.000000,0.544921,0.000000,4.656659
LINE380,0.231590,-0.882698,0.000000,-0.191462,0.000000,-1.555502
LINE381,0.000000,0.786656,0.235426,3.340885,0.000000,-1.356882
LINE382,91.230556,0.984210,160.199777,3.859052,85.955978,3.070305
LINE383,1.590755,-0.879925,1.536842,3.337336,1.470666,1.237571
LINE384,0.000000,-1.070910,0.000000,3.819466,24.600220,1.238183
LINE385,0.000000,2.189949,0.000000,0.320934,0.000000,4.620050
